DateTime,State,Fuel Type,Supply
30/07/2022 00:00,NSW,Battery,526.339
30/07/2022 00:00,NSW,Black coal,796231
30/07/2022 00:00,NSW,Gas,25571.898
30/07/2022 00:00,NSW,Hydro,60824.819
30/07/2022 00:00,NSW,Liquid Fuel,0
30/07/2022 00:00,NSW,Solar,66833.979
30/07/2022 00:00,NSW,Wind,203909.243
30/07/2022 00:00,QLD,Battery,921.681
30/07/2022 00:00,QLD,Biomass,4531.875
30/07/2022 00:00,QLD,Black coal,808768.335
30/07/2022 00:00,QLD,Gas,111344.906
30/07/2022 00:00,QLD,Hydro,26263.105
30/07/2022 00:00,QLD,Liquid Fuel,0
30/07/2022 00:00,QLD,Solar,63573.372
30/07/2022 00:00,QLD,Wind,36996.452
30/07/2022 00:00,SA,Battery,1900.123
30/07/2022 00:00,SA,Gas,37156.178
30/07/2022 00:00,SA,Liquid Fuel,86.031
30/07/2022 00:00,SA,Solar,8300.521
30/07/2022 00:00,SA,Wind,228397.515
30/07/2022 00:00,TAS,Gas,181.872
30/07/2022 00:00,TAS,Hydro,154979.617
30/07/2022 00:00,TAS,Wind,58696.56
30/07/2022 00:00,VIC,Battery,3857.086
30/07/2022 00:00,VIC,Brown coal,580278.723
30/07/2022 00:00,VIC,Gas,20769.403
30/07/2022 00:00,VIC,Hydro,57331.618
30/07/2022 00:00,VIC,Solar,18595.357
30/07/2022 00:00,VIC,Wind,349613.438
06/08/2022 00:00,NSW,Battery,421.738
06/08/2022 00:00,NSW,Black coal,954447.776
06/08/2022 00:00,NSW,Gas,39240.013
06/08/2022 00:00,NSW,Hydro,64966.883
06/08/2022 00:00,NSW,Liquid Fuel,7.625
06/08/2022 00:00,NSW,Solar,73406.096
06/08/2022 00:00,NSW,Wind,81365.487
06/08/2022 00:00,QLD,Battery,906.928
06/08/2022 00:00,QLD,Biomass,6303.117
06/08/2022 00:00,QLD,Black coal,843923.152
06/08/2022 00:00,QLD,Gas,123173.616
06/08/2022 00:00,QLD,Hydro,20801.753
06/08/2022 00:00,QLD,Liquid Fuel,0
06/08/2022 00:00,QLD,Solar,70709.723
06/08/2022 00:00,QLD,Wind,38931.468
06/08/2022 00:00,SA,Battery,1776.247
06/08/2022 00:00,SA,Gas,93853.308
06/08/2022 00:00,SA,Liquid Fuel,944.328
06/08/2022 00:00,SA,Solar,12392.084
06/08/2022 00:00,SA,Wind,160251.758
06/08/2022 00:00,TAS,Gas,2355.643
06/08/2022 00:00,TAS,Hydro,197270.144
06/08/2022 00:00,TAS,Wind,18626.27
06/08/2022 00:00,VIC,Battery,4738.344
06/08/2022 00:00,VIC,Brown coal,646940.755
06/08/2022 00:00,VIC,Gas,81057.697
06/08/2022 00:00,VIC,Hydro,96908.652
06/08/2022 00:00,VIC,Solar,21522.757
06/08/2022 00:00,VIC,Wind,148799.924
13/08/2022 00:00,NSW,Battery,324.566
13/08/2022 00:00,NSW,Black coal,872253.694
13/08/2022 00:00,NSW,Gas,23909.321
13/08/2022 00:00,NSW,Hydro,30882.585
13/08/2022 00:00,NSW,Liquid Fuel,4.358
13/08/2022 00:00,NSW,Solar,70861.497
13/08/2022 00:00,NSW,Wind,161759.855
13/08/2022 00:00,QLD,Battery,976.158
13/08/2022 00:00,QLD,Biomass,5662.5
13/08/2022 00:00,QLD,Black coal,811995.049
13/08/2022 00:00,QLD,Gas,98908.323
13/08/2022 00:00,QLD,Hydro,23963.818
13/08/2022 00:00,QLD,Liquid Fuel,0
13/08/2022 00:00,QLD,Solar,72721.075
13/08/2022 00:00,QLD,Wind,25992.262
13/08/2022 00:00,SA,Battery,1802.556
13/08/2022 00:00,SA,Gas,72792.493
13/08/2022 00:00,SA,Liquid Fuel,470.996
13/08/2022 00:00,SA,Solar,9944.558
13/08/2022 00:00,SA,Wind,153022.966
13/08/2022 00:00,TAS,Gas,5003.767
13/08/2022 00:00,TAS,Hydro,165297.456
13/08/2022 00:00,TAS,Wind,46548.565
13/08/2022 00:00,VIC,Battery,4243.746
13/08/2022 00:00,VIC,Brown coal,536184.112
13/08/2022 00:00,VIC,Gas,45461.93
13/08/2022 00:00,VIC,Hydro,85503.903
13/08/2022 00:00,VIC,Solar,20506.316
13/08/2022 00:00,VIC,Wind,315586.929
20/08/2022 00:00,NSW,Battery,362.766
20/08/2022 00:00,NSW,Black coal,873105.371
20/08/2022 00:00,NSW,Gas,26386.078
20/08/2022 00:00,NSW,Hydro,41183.803
20/08/2022 00:00,NSW,Liquid Fuel,3.575
20/08/2022 00:00,NSW,Solar,85400.79
20/08/2022 00:00,NSW,Wind,120463.733
20/08/2022 00:00,QLD,Battery,1003.431
20/08/2022 00:00,QLD,Biomass,5450.125
20/08/2022 00:00,QLD,Black coal,841461.226
20/08/2022 00:00,QLD,Gas,86676.706
20/08/2022 00:00,QLD,Hydro,21938.655
20/08/2022 00:00,QLD,Liquid Fuel,0
20/08/2022 00:00,QLD,Solar,81958.746
20/08/2022 00:00,QLD,Wind,53952.02
20/08/2022 00:00,SA,Battery,1754.418
20/08/2022 00:00,SA,Gas,111242.527
20/08/2022 00:00,SA,Liquid Fuel,1182.751
20/08/2022 00:00,SA,Solar,12418.796
20/08/2022 00:00,SA,Wind,105028.481
20/08/2022 00:00,TAS,Gas,5279.094
20/08/2022 00:00,TAS,Hydro,189973.632
20/08/2022 00:00,TAS,Wind,39332.883
20/08/2022 00:00,VIC,Battery,3547.937
20/08/2022 00:00,VIC,Brown coal,545136.374
20/08/2022 00:00,VIC,Gas,74320.105
20/08/2022 00:00,VIC,Hydro,107415.207
20/08/2022 00:00,VIC,Solar,27940.173
20/08/2022 00:00,VIC,Wind,198041.862
27/08/2022 00:00,NSW,Battery,209.857
27/08/2022 00:00,NSW,Black coal,807215.706
27/08/2022 00:00,NSW,Gas,24005.232
27/08/2022 00:00,NSW,Hydro,45761.419
27/08/2022 00:00,NSW,Liquid Fuel,0
27/08/2022 00:00,NSW,Solar,86776.075
27/08/2022 00:00,NSW,Wind,108458.109
27/08/2022 00:00,QLD,Battery,911.993
27/08/2022 00:00,QLD,Biomass,6523.225
27/08/2022 00:00,QLD,Black coal,861501.719
27/08/2022 00:00,QLD,Gas,74602.406
27/08/2022 00:00,QLD,Hydro,18907.677
27/08/2022 00:00,QLD,Liquid Fuel,210.048
27/08/2022 00:00,QLD,Solar,55759.059
27/08/2022 00:00,QLD,Wind,41492.082
27/08/2022 00:00,SA,Battery,2021.644
27/08/2022 00:00,SA,Gas,88418.019
27/08/2022 00:00,SA,Liquid Fuel,552.144
27/08/2022 00:00,SA,Solar,13083.81
27/08/2022 00:00,SA,Wind,142488.825
27/08/2022 00:00,TAS,Gas,1527.844
27/08/2022 00:00,TAS,Hydro,181562.437
27/08/2022 00:00,TAS,Wind,36126.817
27/08/2022 00:00,VIC,Battery,3527.765
27/08/2022 00:00,VIC,Brown coal,588165.63
27/08/2022 00:00,VIC,Gas,46779.091
27/08/2022 00:00,VIC,Hydro,89832.436
27/08/2022 00:00,VIC,Solar,31082.449
27/08/2022 00:00,VIC,Wind,203873.197
03/09/2022 00:00,NSW,Battery,373.094
03/09/2022 00:00,NSW,Black coal,741881.597
03/09/2022 00:00,NSW,Gas,39124.022
03/09/2022 00:00,NSW,Hydro,45679.85
03/09/2022 00:00,NSW,Liquid Fuel,0
03/09/2022 00:00,NSW,Solar,82739.382
03/09/2022 00:00,NSW,Wind,123319.261
03/09/2022 00:00,QLD,Battery,1099.247
03/09/2022 00:00,QLD,Biomass,6213.458
03/09/2022 00:00,QLD,Black coal,806458.461
03/09/2022 00:00,QLD,Gas,70257.135
03/09/2022 00:00,QLD,Hydro,25418.345
03/09/2022 00:00,QLD,Liquid Fuel,0
03/09/2022 00:00,QLD,Solar,77762.373
03/09/2022 00:00,QLD,Wind,40655.211
03/09/2022 00:00,SA,Battery,1662.278
03/09/2022 00:00,SA,Gas,74155.009
03/09/2022 00:00,SA,Liquid Fuel,1786.816
